Production rate of Ti-44 by GCR (all) in meteoroid 10cm.
Notes: LIS_VosPotgieter 2015
"Values=Production rates [atoms/gs], X=phi [MV], Y=depth [g/cm2]"
phi/depths,0.0,1.0,3.0,5.0,9.03,13.06,17.09,21.12,25.15,29.18,33.21
550,1.8703822844341858e-05,1.800640224882715e-05,1.7391547163709344e-05,1.7671379229178422e-05,1.5709398224588577e-05,1.5855723263633632e-05,1.5979613766363956e-05,1.602084619205402e-05,1.5929368366734274e-05,1.5802512242154203e-05,1.5735905041616084e-05
600,1.744755445104434e-05,1.681610334427778e-05,1.626382519978474e-05,1.6541007100289117e-05,1.47285111982569e-05,1.4881258190177516e-05,1.5008221706843876e-05,1.505771896607636e-05,1.4981928596565738e-05,1.4868005107133799e-05,1.4808190931378173e-05
650,1.6321417908733716e-05,1.5747283603425683e-05,1.5249276116633615e-05,1.55227575358535e-05,1.3842783521593877e-05,1.400003317004514e-05,1.4128867380012129e-05,1.4185001323908614e-05,1.4122551311641484e-05,1.4019833925206952e-05,1.3965976753695215e-05
700,1.530727501015585e-05,1.4783267919901126e-05,1.433260718366473e-05,1.4601641647333456e-05,1.303976252561546e-05,1.3199999506055619e-05,1.3329764604682918e-05,1.3391211771750114e-05,1.3340151525435175e-05,1.3247191016985446e-05,1.3198579222119337e-05
750,1.4390153576315835e-05,1.3910243938264208e-05,1.3501110673759614e-05,1.3765178073424355e-05,1.2309035202864146e-05,1.247105852918306e-05,1.26010183590408e-05,1.2666696879865629e-05,1.2625395143668977e-05,1.2540967559668486e-05,1.2496992016989344e-05
800,1.3557585611491863e-05,1.3116674503655043e-05,1.274414168094352e-05,1.3002891626657635e-05,1.164182902329134e-05,1.180468438890567e-05,1.1934262045068837e-05,1.2003283232310679e-05,1.1970368052832334e-05,1.189343385688796e-05,1.1853570509595512e-05
850,1.2799106131980395e-05,1.2392849872319119e-05,1.2052718109103146e-05,1.2305928032535095e-05,1.103070318730029e-05,1.1193631315506602e-05,1.1322375296518712e-05,1.1394006102127223e-05,1.1368317652523914e-05,1.1297989346167555e-05,1.126178519659837e-05
900,1.2105868393385692e-05,1.1730542022451424e-05,1.1419210477352778e-05,1.1666754335008377e-05,1.0469307138139904e-05,1.0631703955973361e-05,1.0759262101895258e-05,1.083289572064038e-05,1.081344888685369e-05,1.0748965126565844e-05,1.0716026891402202e-05
950,1.1470344844569512e-05,1.1122734699192197e-05,1.0837098716516276e-05,1.1078923409876573e-05,9.952189758458211e-06,1.0113575409973612e-05,1.0239674659946883e-05,1.0314807310836098e-05,1.0300761771185282e-05,1.024146651569809e-05,1.0211451371140782e-05
1000,1.0886092146643977e-05,1.0563410405490623e-05,1.0300779582849508e-05,1.0536887061439628e-05,9.474647216708109e-06,9.634641757806915e-06,9.759072303965576e-06,9.835284746123666e-06,9.82592086010057e-06,9.771246449114775e-06,9.743854429997305e-06
1050,1.0347564696431935e-05,1.004738073813011e-05,9.80541276665233e-06,1.0035846359270531e-05,9.03260060598727e-06,9.19090480021767e-06,9.313507595454906e-06,9.390450307004331e-06,9.385149548635214e-06,9.334602880357742e-06,9.309570598560375e-06
1100,9.849965305987393e-06,9.570150083500606e-06,9.346796897216193e-06,9.571630817874897e-06,8.622496775022997e-06,8.778876819079838e-06,8.89953366621392e-06,8.976914881922867e-06,8.975143858068873e-06,8.92829502850527e-06,8.905390451477338e-06
1150,9.389124648514254e-06,9.127805247920404e-06,8.921268871221147e-06,9.140600128395177e-06,8.241227377192922e-06,8.39550267890167e-06,8.514128322849617e-06,8.591704320737091e-06,8.593001639128497e-06,8.549474551223439e-06,8.528492638174192e-06
1200,8.961403191744827e-06,8.716925436749383e-06,8.525621539457748e-06,8.739563678027681e-06,7.886062350063642e-06,8.0380956954544e-06,8.154631481165666e-06,8.23219865135386e-06,8.236164070056939e-06,8.195628629684893e-06,8.176387666080522e-06
1250,8.56361086677831e-06,8.334508335556835e-06,8.15703596280848e-06,8.365714212711168e-06,7.5545949138906925e-06,7.704284517176196e-06,7.818693279872863e-06,7.896081615421585e-06,7.90236703083738e-06,7.864532629156862e-06,7.846871133132981e-06
1300,8.192940839086821e-06,7.97790903309602e-06,7.813025318748684e-06,8.016572829568096e-06,7.244695831106559e-06,7.391968878156902e-06,7.504230809478565e-06,7.581298538897719e-06,7.589600464510489e-06,7.5542105091339815e-06,7.537984608968702e-06
1350,7.846914577572652e-06,7.644789260621951e-06,7.491388190068138e-06,7.689943108460914e-06,6.9544751613879446e-06,7.09928254482574e-06,7.2093918362850795e-06,7.2860209780227325e-06,7.296074238822591e-06,7.262901544867176e-06,7.247982746425975e-06
1400,7.523336038679287e-06,7.3330749749540846e-06,7.1901694596110306e-06,7.383872663477822e-06,6.682250121414284e-06,6.82456213168166e-06,6.932524240511828e-06,7.008616906040239e-06,7.0201893296471246e-06,6.989032219353345e-06,6.975305497995414e-06
1450,7.22025325243533e-06,7.040920732595539e-06,6.907627408471427e-06,7.096620755171398e-06,6.426517945753985e-06,6.566320732977467e-06,6.672150148753353e-06,6.747625456559298e-06,6.760513385632159e-06,6.7311923746997395e-06,6.718554538386867e-06
1500,6.935925955968825e-06,6.766679623902221e-06,6.642205903520831e-06,6.826630881569535e-06,6.185932867412345e-06,6.323225527671371e-06,6.4269439436570656e-06,6.5017354341282395e-06,6.5157599187264705e-06,6.488114890683213e-06,6.476473170770388e-06
1550,6.668798196140388e-06,6.508877784760984e-06,6.3925107826893355e-06,6.572507481056663e-06,5.9592865095774265e-06,6.0940786791820164e-06,6.195713492124419e-06,6.269766954955476e-06,6.284770510355344e-06,6.258658298622372e-06,6.2479291325870185e-06
1600,6.417475037156328e-06,6.266192696577149e-06,6.1572897204185125e-06,6.33299604832803e-06,5.745491115792899e-06,5.877800980534689e-06,5.977384058009636e-06,6.05065570075546e-06,6.06649953748658e-06,6.0417918494162945e-06,6.031899826032783e-06
