Production rate of Ti-44 by GCR (all) in meteoroid 20cm.
Notes: LIS_VosPotgieter 2015
"Values=Production rates [atoms/gs], X=phi [MV], Y=depth [g/cm2]"
phi/depths,0.0,1.0,3.0,5.0,10.34,15.68,21.02,26.36,31.7,37.04,42.38,47.72,53.06,58.4,63.74,69.08
800,1.6323729650063482e-05,1.6201556440503872e-05,1.611040037051976e-05,1.6385194116314033e-05,1.5195562308551826e-05,1.5463980246150422e-05,1.5692790273554938e-05,1.0394265148645928e-05,1.5885181273246445e-05,1.5974704161175054e-05,1.6015972528521722e-05,1.6082696847493296e-05,1.613213582916487e-05,1.604090043379699e-05,1.591922209751732e-05,1.5583049439151716e-05
850,1.5400355660177394e-05,1.52972339241929e-05,1.5226248469363461e-05,1.549824525904178e-05,1.4396366998194107e-05,1.4664120177528265e-05,1.4893683705458718e-05,1.001218091204935e-05,1.5094833663347032e-05,1.5186379691147975e-05,1.5231286767468228e-05,1.530026887749529e-05,1.535159590315986e-05,1.5268808164602765e-05,1.5158730374736036e-05,1.483966039058179e-05
900,1.4554800030029176e-05,1.4468094737270164e-05,1.441439993963276e-05,1.4682872400277167e-05,1.3659849508275739e-05,1.392594454197648e-05,1.4155224492487902e-05,9.651131864572446e-06,1.4363053821964248e-05,1.4455993410448579e-05,1.4503852509453001e-05,1.4574488964522581e-05,1.4627224165518337e-05,1.4551977670779312e-05,1.4452300395189141e-05,1.4149063271966401e-05
950,1.3778244594393658e-05,1.3705737080139625e-05,1.3666899153653078e-05,1.3931296262757602e-05,1.2979379373297099e-05,1.3243032355165288e-05,1.3471195990692444e-05,9.309426738163922e-06,1.3683976173119332e-05,1.3777788333253257e-05,1.3828021003736147e-05,1.3899810902845225e-05,1.3953556283133716e-05,1.388505971805969e-05,1.379472804527207e-05,1.3506179071722165e-05
1000,1.306312578978577e-05,1.3002937201230527e-05,1.2976889725177291e-05,1.3236800236049846e-05,1.2349209032965543e-05,1.2609804636092677e-05,1.2836185010815127e-05,8.985571976259826e-06,1.3052476590613425e-05,1.3146729785011162e-05,1.3198847446942938e-05,1.3271374496246163e-05,1.3325799430282311e-05,1.3263359489441551e-05,1.3181443155539142e-05,1.290654737392314e-05
1050,1.2402920535622844e-05,1.2353451456971367e-05,1.2338432408639185e-05,1.2593556218211656e-05,1.176433263352737e-05,1.202139171086496e-05,1.2245456927243033e-05,8.678239550899601e-06,1.2464059555143016e-05,1.2558396253057965e-05,1.2611985303761373e-05,1.2684903313927098e-05,1.2739732862794076e-05,1.2682740078849429e-05,1.2608416315306439e-05,1.2346235420568961e-05
1100,1.1791974585210093e-05,1.1751856975547284e-05,1.1746358021274637e-05,1.1996483609981175e-05,1.1220371072568863e-05,1.1473524831921317e-05,1.1694853372370802e-05,8.386241443845354e-06,1.1914765309067751e-05,1.2008889447560633e-05,1.2063599108007781e-05,1.2136620200727287e-05,1.2191625642224204e-05,1.2139542569751568e-05,1.2072081662216877e-05,1.1821762767405855e-05
1150,1.1225363779657326e-05,1.1193422385994588e-05,1.1196147748752397e-05,1.1441134301736683e-05,1.0713477752355062e-05,1.0962447055139037e-05,1.1180707878380497e-05,8.108509179735848e-06,1.1401092981739666e-05,1.1494759730190053e-05,1.1550292071005666e-05,1.162317703722677e-05,1.1678168147779189e-05,1.1630519458697023e-05,1.1569272531879553e-05,1.1330038491802617e-05
1200,1.0698781042749019e-05,1.0674002178661341e-05,1.0683835051671581e-05,1.092359821680527e-05,1.0240260807865054e-05,1.0484839489931744e-05,1.0699775890469377e-05,7.844077231245326e-06,1.0919936563057907e-05,1.1012943925532429e-05,1.1069045638769345e-05,1.1141596017120309e-05,1.1196414749164895e-05,1.1152778889969412e-05,1.1097167530586074e-05,1.0868308573316657e-05
1250,1.0208443694402335e-05,1.018994979744608e-05,1.0205924751082616e-05,1.044042524212539e-05,9.797718540528587e-06,1.0037759911245502e-05,1.0249176370164009e-05,7.592069423445485e-06,1.0468531284086988e-05,1.0560713177309005e-05,1.0617168755325037e-05,1.0689220294107795e-05,1.0743735572027054e-05,1.0703737704484622e-05,1.06532451097139e-05,1.0434111571166845e-05
1300,9.751016934878157e-06,9.738045696441233e-06,9.75932588003746e-06,9.988560319838833e-06,9.38318551188773e-06,9.618591380076298e-06,9.826342807832148e-06,7.351687685343223e-06,1.0044408481268483e-05,1.0135629004211725e-05,1.0192255059378913e-05,1.026367229767635e-05,1.031777571552581e-05,1.0281081717824926e-05,1.0235245115989876e-05,1.0025241109137812e-05
1350,9.323550296726925e-06,9.315437438151616e-06,9.34129564399292e-06,9.565289181656932e-06,8.994287298685224e-06,9.22499901887067e-06,9.42898192138883e-06,7.122202656768989e-06,9.64535741763841e-06,9.73550608861936e-06,9.792146603082444e-06,9.86281836184102e-06,9.916420612059899e-06,9.882731960632636e-06,9.841136097723966e-06,9.639713977176308e-06
1400,8.923424569367396e-06,8.919589546862092e-06,8.949392404683957e-06,9.168192745123862e-06,8.628902328775883e-06,8.85489347118293e-06,9.055038670313719e-06,6.902945776127351e-06,9.269392841214437e-06,9.358380624473538e-06,9.414902962026014e-06,9.48473857870045e-06,9.53776647635413e-06,9.50681586255371e-06,9.469087385516177e-06,9.275742891713056e-06
1450,8.548307236890619e-06,8.548241314740783e-06,8.58143603857116e-06,8.795108602100455e-06,8.285129539044804e-06,8.506399870912003e-06,8.702666487037467e-06,6.693302561238056e-06,8.914727299611908e-06,9.002483279161836e-06,9.05877482464621e-06,9.127700998218893e-06,9.180094992726206e-06,9.151642555443404e-06,9.117445153030908e-06,8.931713139398569e-06
1500,8.196114878762176e-06,8.199371129592941e-06,8.235474356972943e-06,8.444098347085046e-06,7.961260846223734e-06,8.177831376853018e-06,8.370201840880989e-06,6.492706860142642e-06,8.579747417324982e-06,8.666216003806226e-06,8.722181321554534e-06,8.790139460759297e-06,8.841851548436723e-06,8.815681625168163e-06,8.784711811232508e-06,8.606162473230333e-06
1550,7.864981298156334e-06,7.871166180357543e-06,7.909754535679334e-06,8.11341973971792e-06,7.655757616702186e-06,7.86766650896959e-06,8.056142417316186e-06,6.300635897355879e-06,8.262993490065328e-06,8.348132068332902e-06,8.4036904917479e-06,8.470634479819763e-06,8.52162644736221e-06,8.497544763416641e-06,8.469528206974866e-06,8.297763744745751e-06
1600,7.553230387219012e-06,7.561996620218121e-06,7.602698705584593e-06,7.801502889053735e-06,7.367230475072341e-06,7.574529665407894e-06,7.759128327946971e-06,6.116605977882061e-06,7.963141868116e-06,8.046918810670478e-06,8.102002391368619e-06,8.167896696880852e-06,8.21813863915468e-06,8.19596986852653e-06,8.170658190801042e-06,8.005309847670876e-06
1650,7.259352929811037e-06,7.270393442809117e-06,7.312883016203646e-06,7.506929799557974e-06,7.094421912861983e-06,7.297174312559026e-06,7.4779258722307985e-06,5.940168739471171e-06,7.678989694634175e-06,7.761382679840476e-06,7.815934437795828e-06,7.880752514080884e-06,7.930221580135645e-06,7.909807222789044e-06,7.886975194372983e-06,7.727700622166551e-06
1700,6.981986692876971e-06,6.995029465727355e-06,7.03901961092342e-06,7.2284167396954724e-06,6.836191255918203e-06,7.0344684310023044e-06,7.211413456555672e-06,5.770907865272558e-06,7.4094416403771855e-06,7.490436225473344e-06,7.544408652037967e-06,7.608131578051618e-06,7.65681090766213e-06,7.638007437101152e-06,7.617450519042948e-06,7.463931428437364e-06
1750,6.719899276942618e-06,6.734702925834207e-06,6.779941054031943e-06,6.964798990505503e-06,6.59150162667043e-06,6.785381872905377e-06,6.958569344423164e-06,5.608436185874041e-06,7.153498337375996e-06,7.2330867451612115e-06,7.28644051924831e-06,7.349055843072008e-06,7.3969336628688294e-06,7.379610905340947e-06,7.361143086719771e-06,7.213083146911005e-06
1800,6.471973291417383e-06,6.488323279014303e-06,6.534586830669221e-06,6.71501760905175e-06,6.359408600178299e-06,6.548975345225685e-06,6.718460966646485e-06,5.452393112877326e-06,6.9102462636648795e-06,6.988426348931874e-06,7.041129233457682e-06,7.102629986376961e-06,7.1496988400607885e-06,7.1337385528801605e-06,7.1171904447123385e-06,6.974313401749561e-06
1850,6.237193496710757e-06,6.2548988679589e-06,6.301991606200708e-06,6.478107904187377e-06,6.139050303650172e-06,6.324390780774909e-06,6.49023556535358e-06,5.302442356531273e-06,6.678848871647561e-06,6.755623239243129e-06,6.807649130463239e-06,6.868032985033758e-06,6.9142890765738e-06,6.899583698118073e-06,6.88480084947885e-06,6.746848836891167e-06
1900,6.014635616724979e-06,6.033526178855838e-06,6.081274984452935e-06,6.253189372821801e-06,5.929638750460502e-06,6.1108428981395465e-06,6.273111982271926e-06,5.158269888176115e-06,6.458538785860192e-06,6.533914036998731e-06,6.5852421438992e-06,6.644510693875746e-06,6.689953326173633e-06,6.67640487430723e-06,6.663246281594726e-06,6.529978300543991e-06
